node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXA3,HOXA5,HOXB5,1.3332641246712900,0.8585427934094910,3.324339577898390,3.792881357183750,1.8837321080328500,0.245582603874697,0.001,0.001,0.049,0.5331339627860200
HOXB2,HOXB5,HOXA2,0.7825882731728040,0.4528849721627210,4.243477392558660,3.9187146037349000,0.1308350231714960,0.294810576607825,0.001,0.001,0.514,0.5333049489555560
HOXB6,HOXB3,NFYC,0.7937088283347760,0.6928746703961670,3.414574075070400,3.882244838075790,3.005297197967850,0.228139239825918,0.001,0.001,0.005,0.5337062528681370
HOXB2,HOXB3,ZHX1,1.1451867527707100,0.9636952977205620,3.5729861397142000,2.5838661265130400,1.0011478095948400,0.2675984571942140,0.001,0.011,0.842,0.5339679419136690
HOXB7,HOXB5,PBX2,0.5990619552915180,0.4311166605361150,3.284425689059370,3.251111001442540,0.6075160527891470,0.2750337044160350,0.001,0.001,0.248,0.5340833109996980
HOXB3,HOXB6,MAX,0.7937088283347760,0.7119375439890240,5.697992590235690,6.09763552075409,4.238667174584650,0.3090397050589940,0.001,0.001,0.001,0.5353842856517040
HOXB3,HOXB8,AR,0.321419241443118,0.3120962598046960,3.0344436665537400,1.909855169767030,1.468704338690300,0.2584892028944490,0.001,0.027,0.077,0.5364487827935210
HOXB6,HOXB3,WT1,0.7937088283347760,0.8204197901943820,3.306630852748180,2.304845014786230,2.577015045949460,0.226691614273046,0.001,0.019,0.01,0.5364573564619660
HOXB2,HOXB5,CUX2,0.7825882731728040,0.6144289950418220,4.097241904468180,4.570308439179990,3.74987892682178,0.2804261731449030,0.001,0.001,0.003,0.537222198864625
PBX3,HOXA7,PITX1,0.5133840201686720,0.5726909932340020,3.11844523210724,2.4831046518477200,3.299545995730930,0.244781601190884,0.001,0.02,0.004,0.5380941155163930
HOXB3,HOXB2,ESX1,1.1451867527707100,1.004272966143530,3.3398365101857200,3.0636253483734900,1.931069890853530,0.2627601818691880,0.001,0.003,0.036,0.5382617103865910
HOXA7,HOXA9,PBX3,1.112822518526140,0.5550275309345670,5.295926512825370,5.5850575753346,1.7316213179417900,0.3253832963581220,0.001,0.001,0.059,0.5389322038817140
HOXB3,HOXB2,ZNF202,1.1451867527707100,0.93061028419757,2.7921083099799800,2.320464722751720,1.0631043513384800,0.2343340888959850,0.001,0.014,0.857,0.5393207644792100
HOXB3,HOXB6,ARID5B,0.7937088283347760,0.6713775162774950,3.528888024773040,3.3216415634058400,0.7377337212719580,0.2371866376806560,0.001,0.003,0.213,0.5396104502467770
HOXB2,HOXB5,SIX3,0.7825882731728040,0.4923496383096670,4.0017678185873600,4.4095531092647300,5.281099807334630,0.2834909883029120,0.001,0.001,0.001,0.5401339828420800
HOXB7,HOXB6,KLF5,0.6863109245580840,0.4683779565138530,3.977643617575610,3.525164224175910,1.058640835344430,0.2986712171509350,0.001,0.002,0.864,0.5403143255854810
HOXB3,HOXB6,EPAS1,0.7937088283347760,0.6288881104018670,3.942231260037730,3.8399330795567700,3.4881162972564600,0.2520615881322880,0.001,0.001,0.004,0.54128998105119
HOXB6,HOXB3,ISX,0.7937088283347760,0.6560043857387300,3.28931804494207,3.5853464276241300,1.4767093472485400,0.2230309441522310,0.001,0.001,0.072,0.5417434598024390
HOXA9,HOXB8,IRX5,0.2686431155893630,0.143995959611322,4.072063262135040,3.5710890412487500,1.2909410699070300,0.2559301049472200,0.001,0.002,0.916,0.5426364450669980
HOXB5,HOXB3,MAX,0.7697066114185670,0.7127811418057340,3.913963173769430,3.6002451570563600,4.207898684729690,0.2588614257438260,0.001,0.001,0.001,0.5429511344938370
HOXB2,HOXB5,UNCX,0.7825882731728040,0.5276832040824090,3.998213604524290,4.16427258692024,4.993541722173200,0.290793087354658,0.001,0.001,0.001,0.5435506564857950
HOXB6,HOXB3,NFYB,0.7937088283347760,0.743548751761424,3.493807820581180,3.730198346579350,3.405947086358430,0.2317238256939540,0.001,0.001,0.001,0.5448312409175500
HOXA3,HOXA9,HOXB6,1.1386549814171800,0.5578349220824310,3.935201054693690,3.666542542706940,3.781562389832570,0.2856133317946950,0.001,0.001,0.001,0.5452491714245750
HOXB5,HOXB3,ISX,0.7702160357690510,0.6684820811312860,3.152082476803730,3.0926856653488400,0.634673010840538,0.2280285311273420,0.001,0.005,0.243,0.5461017925839770
HOXA9,HOXA2,FOSB,0.8015446206025020,0.7190020132402270,3.614868179820660,3.540561629368300,0.669789899144752,0.2855262474098830,0.001,0.001,0.735,0.5515106373618180
HOXA2,HOXA7,HOXB2,0.8155154551505330,0.4249308729442770,3.263049851946420,3.176514419356270,2.447144656534630,0.2446268297537500,0.001,0.001,0.025,0.5529322070490370
HOXA2,HOXA3,BCL11A,0.9439650419171030,0.8504977636771550,3.0562783331295900,3.00456403051822,1.1029426889583400,0.2336859766138540,0.001,0.003,0.138,0.5530382075138160
HOXB5,HOXB3,GFI1,0.7697066114185670,0.6413399848287710,3.4392081618217500,3.287056038067330,3.373810747555080,0.2360894875319390,0.001,0.002,0.002,0.5533395845214080
HOXA5,MEIS1,TCF7L2,0.5030159606006040,0.5444907733470870,3.2659857831856000,3.516288292310830,0.8039174848233370,0.3208188608907780,0.001,0.001,0.211,0.5535570384062430
HOXA3,HOXA2,HOXB2,0.9439650419171030,0.6483916841514700,3.988801213823060,4.682705816466840,2.6130249174848600,0.2720007749107290,0.001,0.001,0.012,0.5540417750905150
HOXA2,HOXA5,HOXB8,0.9404384530945530,0.7341512867187600,3.7899699935359600,3.9840083014896700,3.2249269354436200,0.2557743196132600,0.001,0.001,0.004,0.5552791746522680
HOXA9,HOXB5,ELK3,0.3850164720783460,0.4273006224303000,3.5849160503183300,3.761292295910880,2.660729464730210,0.271194022447641,0.001,0.001,0.011,0.5560477160305650
HOXB7,HOXB6,IRX5,0.6863109245580840,0.5190845795101,3.596120951121580,2.843314815386790,0.2557630583414950,0.2876637053545840,0.001,0.009,0.559,0.5573127618356300
HOXB3,HOXB5,UNCX,0.7697066114185670,0.6615590507431390,3.545281620334920,3.294431231923280,3.561517460347100,0.2449051158522800,0.001,0.001,0.002,0.5576802523502070
HOXB5,HOXB7,DLX4,0.5990619552915180,0.4379016434231390,3.738518202104140,2.680291178689900,0.4750139054909210,0.2913807685218490,0.001,0.012,0.65,0.5583821946353320
HOXA9,HOXA2,RXRA,0.8015446206025020,0.6654074973330180,3.696243099187980,3.349148121738260,4.189606723569920,0.2869683294943950,0.001,0.002,0.001,0.5588952523333690
HOXA3,HOXA2,GLI3,0.9439650419171030,0.7579396932157860,4.063254585174640,4.256627605137290,0.322514522857505,0.2795381226401820,0.001,0.001,0.582,0.559845179529507
HOXB2,HOXB5,ARID5B,0.7825882731728040,0.67148454059407,3.0882049370412200,3.191795684450930,0.7923567450068580,0.2441789062301160,0.001,0.001,0.778,0.5602698134648830
HOXA2,HOXA3,SIX3,0.9439650419171030,0.764412193874866,4.503118815221450,3.799531649814470,4.675278910573980,0.3005778876436830,0.001,0.001,0.001,0.5614957625326660
HOXB7,HOXB6,JDP2,0.6863109245580840,0.5764278537332850,3.782678395085540,3.5120762611775900,2.7006894557982500,0.2979132972311590,0.001,0.002,0.014,0.5615514229577060
HOXB3,HOXB6,MNT,0.7937088283347760,0.7488518726271380,3.4747461632537300,2.612297906992230,1.86656214805471,0.2377183737080230,0.001,0.01,0.045,0.5616583707773120
HOXA2,HOXA5,HOXA1,0.9404384530945530,0.5025913235500250,3.778111223831830,3.317136201533030,1.2379283483158700,0.255695432275688,0.001,0.004,0.11,0.5629897039526140
HOXA7,PBX3,E2F2,0.5133840201686720,0.5011163761681580,2.956169563380260,3.333607592336990,1.6511219230776800,0.2321339587144540,0.001,0.001,0.073,0.5632363438516730
HOXB5,HOXB7,ARID5B,0.5990619552915180,0.5133446073667270,3.817487386108750,4.58752857513945,2.054251316772290,0.2861304905337060,0.001,0.001,0.031,0.5638711539739470
HOXB2,MEIS1,GCM2,0.4335069789107010,0.4859596419386360,2.9828905949441500,2.51345673614356,0.6762783283911490,0.2969477265099730,0.001,0.009,0.234,0.5657446639193190
HOXB6,HOXB2,IRX1,0.716368688180506,0.6624422845845240,3.855683179671290,4.022878763895320,2.931521714613240,0.2869986937399670,0.001,0.001,0.006,0.5661087032638370
HOXB6,HOXB3,RXRB,0.7937088283347760,0.7431946374661340,3.234968864757630,2.9174140767340000,1.7430668951350800,0.2203954109300130,0.001,0.002,0.059,0.5663921928573670
HOXB2,HOXB5,MAX,0.7825882731728040,0.6087723968898210,4.184286117114170,4.015710647626040,4.718439571609670,0.2902520940858700,0.001,0.001,0.001,0.5666447687757740
HOXB8,HOXB3,BACH2,0.321419241443118,0.3723109586620750,3.095090703617010,2.615559070862650,2.909101210694500,0.2553015904335090,0.001,0.007,0.003,0.5670234139412680
HOXA2,HOXA3,HOXB8,0.9439650419171030,0.7041559987591370,5.088692550298680,4.794629099012290,5.30841801686573,0.3261552091713820,0.001,0.001,0.001,0.5670246445438490
HOXA9,HOXA2,HOXB3,0.8015446206025020,0.3573800835537890,3.2825282284487400,3.4625102082872300,0.6417356271349900,0.2646721619455530,0.001,0.001,0.248,0.5670385010369670
HOXA2,HOXA5,ZBTB6,0.9404384530945530,0.846789409939389,3.988636689023110,4.039998458028480,2.082592460730410,0.2598704640111530,0.001,0.001,0.026,0.5671282249838060
HOXA7,HOXA3,HOXB3,1.0903002525183500,0.6005143000017400,5.1631852780150300,5.1267922242469,3.244884431683230,0.2905314205728100,0.001,0.001,0.005,0.5679782154948100
HOXB7,HOXB3,FOXO1,0.6054529253103830,0.3931214173164560,3.5728214342607900,2.509185308518140,1.6396332150722300,0.2702633584856250,0.001,0.017,0.072,0.5681742882977590
HOXB8,HOXA9,SOX9,0.2686431155893630,0.22797033884133,3.240173426643810,2.024874972216350,2.6327626218409100,0.223781513661854,0.001,0.027,0.011,0.5686771478973920
